dim,birth,b_x,b_y,b_z,death,d_x,d_y,d_z,val1,val2
0, 43, 83, 420, 0, 56, 87, 354, 0, 115, 117
0, 80, 397, 260, 0, 90, 398, 257, 0, 133, 131
0, 91, 399, 252, 0, 99, 399, 253, 0, 122, 123
0, 13, 381, 223, 0, 112, 387, 226, 0, 120, 172
0, 15, 223, 420, 0, 186, 209, 389, 0, 124, 121
0, 19, 332, 359, 0, 189, 323, 358, 0, 141, 135
0, 14, 42, 296, 0, 202, 77, 420, 0, 131, 124
0, 23, 0, 252, 0, 205, 0, 239, 0, 119, 135
1, 173, 266, 224, 0, 207, 271, 222, 0, 152, 133
0, 10, 191, 34, 0, 209, 149, 40, 0, 134, 124
0, 11, 383, 121, 0, 209, 376, 109, 0, 118, 148
0, 15, 0, 225, 0, 210, 25, 224, 0, 124, 123
0, 73, 398, 256, 0, 211, 393, 273, 0, 130, 137
0, 9, 368, 97, 0, 212, 374, 125, 0, 120, 118
0, 17, 372, 310, 0, 213, 361, 420, 0, 137, 140
0, 34, 175, 17, 0, 227, 158, 22, 0, 136, 135
0, 73, 51, 420, 0, 228, 62, 329, 0, 133, 120
