dim,birth,b_x,b_y,b_z,death,d_x,d_y,d_z
0, 37, 83, 420, 0, 51, 89, 353, 0, 117, 116
0, 27, 243, 273, 0, 53, 239, 255, 0, 104, 125
0, 57, 397, 260, 0, 65, 398, 257, 0, 133, 130
0, 81, 349, 269, 0, 122, 353, 277, 0, 73, 146
0, 15, 223, 420, 0, 186, 208, 388, 0, 127, 123
0, 16, 332, 359, 0, 187, 325, 354, 0, 135, 139
0, 13, 72, 322, 0, 199, 77, 420, 0, 123, 131
0, 25, 0, 252, 0, 203, 0, 238, 0, 117, 136
0, 11, 383, 121, 0, 206, 376, 109, 0, 122, 140
0, 10, 190, 35, 0, 208, 148, 39, 0, 123, 126
0, 50, 398, 256, 0, 208, 392, 273, 0, 125, 131
0, 16, 0, 224, 0, 208, 25, 224, 0, 130, 125
0, 11, 367, 96, 0, 211, 374, 125, 0, 125, 122
0, 14, 372, 309, 0, 212, 361, 420, 0, 124, 135
1, 189, 264, 225, 0, 226, 268, 222, 0, 146, 119
0, 31, 175, 17, 0, 228, 158, 22, 0, 133, 138
0, 64, 51, 420, 0, 229, 62, 327, 0, 133, 121
1, 157, 233, 256, 0, 245, 232, 273, 0, 149, 97
