dim,birth,b_x,b_y,b_z,death,d_x,d_y,d_z,val1,val2
0, 231, 319, 370, 0, 188, 323, 357.5, 0, 131, 132
0, 197, 272, 222, 0, 181, 265.5, 224, 0, 135, 148
0, 242, 194, 16, 0, 33, 147.5, 0, 0, 131, 135
0, 63, 375, 311, 0, 28, 379.5, 304, 0, 143, 138
0, 38, 91, 0, 0, 28, 91.5, 0, 0, 122, 122
1, 36, 237.5, 247, 0, 28, 240.5, 273.5, 0, 117, 120
0, 238, 44, 309, 0, 26, 70.5, 340, 0, 132, 122
0, 140, 210, 403, 0, 22, 210, 397.5, 0, 141, 136
1, 110, 384, 227.5, 0, 20, 378.5, 223.5, 0, 154, 122
1, 33, 227.5, 225, 0, 18, 235.5, 234.5, 0, 121, 137
1, 26, 321, 68.5, 0, 16, 304.5, 83.5, 0, 118, 126
1, 19, 343, 105.5, 0, 10, 351.5, 112.5, 0, 125, 121
1, 19, 285.5, 333, 0, 9, 280.5, 327.5, 0, 137, 125
1, 31, 148.5, 309, 0, 9, 144.5, 316.5, 0, 110, 130
1, 21, 59, 273.5, 0, 9, 35.5, 272.5, 0, 123, 125
1, 26, 270.5, 308, 0, 8, 287.5, 346.5, 0, 133, 126
